time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/loss
1,22.9438202247191,2086,0,2048,22.9438202247191,,,,,,,,,,
2,27.98,1339,3,4096,27.98,-0.014261565454580705,0.090966796875,10,-0.002644777297973633,0.0077794017,0.2,0.0003,-1.0922043409198523,51.097393909096716,4.919396877288818
3,33.02,1259,4,6144,33.02,-0.011108338530175389,0.06728515625,20,0.10477042198181152,0.0064222594,0.2,0.0003,-1.080629613995552,35.96291049718857,12.345311164855957
4,43.3,1224,6,8192,43.3,-0.0234720869892044,0.18369140625,30,0.3433249592781067,0.013375597,0.2,0.0003,-1.042025065794587,43.280673038959506,19.695310592651367
5,59.26,1209,8,10240,59.26,-0.018035351087746676,0.104541015625,40,0.28123635053634644,0.012111455,0.2,0.0003,-1.0048163620755077,65.30356428623199,32.77767562866211
6,74.08,1192,10,12288,74.08,-0.011285644756571855,0.071630859375,50,0.4158216118812561,0.00980873,0.2,0.0003,-0.9975825207307935,55.33547351658344,13.82418441772461
7,90.13,1183,12,14336,90.13,-0.009883527773490641,0.049609375,60,0.541411817073822,0.006449849,0.2,0.0003,-0.97394859790802,59.33870117664337,42.168128967285156
8,106.03,1170,13,16384,106.03,-0.010015430534258485,0.0779296875,70,0.7544356435537338,0.010894125,0.2,0.0003,-0.9701693015173077,41.60511810779572,12.54484748840332
9,123.72,1161,15,18432,123.72,-0.0075151694982196204,0.08173828125,80,0.8454643487930298,0.0083888415,0.2,0.0003,-0.9741304490715266,31.185176520049573,7.157708168029785
10,142.58,1147,17,20480,142.58,-0.009375916044518817,0.09580078125,90,0.8856587931513786,0.011118012,0.2,0.0003,-0.9660553222522139,28.384292282164097,5.445777893066406
11,159.04,1142,19,22528,159.04,-0.006210348586319014,0.0564453125,100,0.9156244248151779,0.0064440807,0.2,0.0003,-0.9637980798259378,16.67427217066288,3.2096471786499023
12,176.54,1140,21,24576,176.54,-0.00793257527257083,0.0845703125,110,0.8506097048521042,0.010159968,0.2,0.0003,-0.9603131469339132,25.89827783294022,1.4961081743240356
13,194.97,1137,23,26624,194.97,-0.004530526616144925,0.031884765625,120,0.7875788360834122,0.0033554444,0.2,0.0003,-0.9282958429306746,28.395340050756932,5.389894962310791
