time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/value_loss,train/loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/clip_range,train/n_updates,train/policy_gradient_loss,train/clip_fraction
2048,2133,24.261904761904763,0,1,16.398809523809526,,,,,,,,,,
4096,1457,25.43,2,2,17.53,21.3020172432065,2.5536248683929443,-1.0933925066143275,0.00667649507522583,0.0003,0.0067037703,0.2,10,-0.011505586566636338,0.06923828125
6144,1276,34.98,4,3,24.415,13.625141240656376,5.560518264770508,-1.0817276816815138,0.2042003870010376,0.0003,0.008972799,0.2,20,-0.012773257652588655,0.07939453125
8192,1225,44.83,6,4,31.11,21.571395406126975,9.051815032958984,-1.0541115898638964,0.2958170771598816,0.0003,0.012852833,0.2,30,-0.01818907942069927,0.12607421875
10240,1197,56.19,8,5,38.71,21.76261937916279,12.039928436279297,-1.0070881454274059,0.45879876613616943,0.0003,0.014796404,0.2,40,-0.022829583297425415,0.169189453125
12288,1170,73.4,10,6,50.395,24.67921792268753,9.094152450561523,-0.983575788885355,0.5235615372657776,0.0003,0.01267672,0.2,50,-0.017420677313930356,0.084375
14336,1149,90.68,12,7,62.29,14.976851236075163,5.4941205978393555,-0.9839827070012689,0.666287362575531,0.0003,0.008238016,0.2,60,-0.00731085102452198,0.052197265625
16384,1141,106.98,14,8,73.75,10.193935893848538,4.434001445770264,-0.9969341535121202,0.8198831677436829,0.0003,0.0049625826,0.2,70,-0.005910877120913938,0.035888671875
18432,1141,124.5,16,9,86.18,18.508271427452563,6.599151134490967,-0.9644808601588011,0.7935577481985092,0.0003,0.0061838967,0.2,80,-0.01037603689765092,0.05966796875
20480,1141,143.1,17,10,100.01,4.9009233204647895,1.2759290933609009,-0.9532937712967395,0.9447177611291409,0.0003,0.011403431,0.2,90,-0.009987676549644674,0.093701171875
22528,1141,158.55,19,11,112.325,6.047577569633722,2.164228916168213,-0.9084646554663778,0.9302947446703911,0.0003,0.014363999,0.2,100,-0.011515121549018658,0.140380859375
24576,1142,177.28,21,12,127.825,5.144071117416024,0.7074626684188843,-0.8476085135713219,0.9645711705088615,0.0003,0.0089067165,0.2,110,-0.008729628956643865,0.04658203125
26624,1143,192.53,23,13,141.04,19.465371852368115,4.011498928070068,-0.8028914352878929,0.8852478638291359,0.0003,0.010694495,0.2,120,-0.011403342465200694,0.108984375
28672,1137,209.6,25,14,155.56,35.52227111011744,13.60053825378418,-0.7607339147478343,0.6272460222244263,0.0003,0.00646899,0.2,130,-0.0045943563396576795,0.049658203125
30720,1131,229.78,27,15,173.575,14.746796172112226,1.7149503231048584,-0.7314560135826469,0.8816434666514397,0.0003,0.008105707,0.2,140,-0.0030684017590829173,0.032373046875
32768,1130,244.41,28,16,187.105,23.0864656239748,5.252814769744873,-0.6954533552750946,0.8960627391934395,0.0003,0.010256803,0.2,150,-0.017233532189129618,0.185791015625
34816,1126,263.82,30,17,204.675,63.30138178169727,36.929012298583984,-0.6499296866357327,0.6624798774719238,0.0003,0.0032140198,0.2,160,-0.004816854710225016,0.039208984375
36864,1125,279.25,32,18,219.23,54.25358015596866,15.328862190246582,-0.6524334089830518,0.3800850510597229,0.0003,0.003372938,0.2,170,-0.006834262382835732,0.02607421875
38912,1125,295.91,34,19,233.945,32.141058465838434,14.412294387817383,-0.6033644115552306,0.7783225923776627,0.0003,0.0030578477,0.2,180,-0.0063219043804565445,0.0294921875
40960,1126,311.24,36,20,248.545,7.083273546770215,2.3524084091186523,-0.6105254931375385,0.9120314344763756,0.0003,0.010592389,0.2,190,-0.012274021992925554,0.097119140625
43008,1127,326.09,38,21,262.87,2.348088777810335,0.8832216858863831,-0.5391581303440034,0.8770014569163322,0.0003,0.011327798,0.2,200,-0.01292998469871236,0.103076171875
45056,1126,339.45,40,22,276.695,1.1813220342621207,0.2566862404346466,-0.5079507336951792,0.8651407212018967,0.0003,0.009621091,0.2,210,-0.013711760625301394,0.090966796875
47104,1122,350.74,41,23,289.935,0.763073546718806,0.19627892971038818,-0.3427326878532767,0.6534036993980408,0.0003,0.011510398,0.2,220,-0.00975689205879462,0.05888671875
49152,1121,361.96,43,24,302.85,9.604181315237657,0.8403818607330322,-0.3333939201198518,0.4438682794570923,0.0003,0.003937578,0.2,230,-0.0054125275943079035,0.017333984375
51200,1122,367.99,45,25,312.15,0.42815420413389804,0.061363883316516876,-0.2756623158697039,0.28429901599884033,0.0003,0.0055477815,0.2,240,-0.00633631932651042,0.035205078125
53248,1122,383.67,47,26,329.725,0.6825262946542352,0.1436423659324646,-0.2389582590665668,0.8030655533075333,0.0003,0.002509078,0.2,250,-0.0030587604982429185,0.030224609375
55296,1123,394.09,49,27,342.175,0.28354890877380967,0.11354564875364304,-0.2424524834845215,0.8724792003631592,0.0003,0.0054065017,0.2,260,-0.007525477759190835,0.0546875
57344,1123,403.85,51,28,354.265,0.2379643651191145,0.09452888369560242,-0.19531720888335258,0.6086555123329163,0.0003,0.0072553447,0.2,270,-0.004829039821925107,0.036181640625
59392,1123,410.78,52,29,364.295,0.20682493189815432,0.03274672105908394,-0.15086536055896432,0.6605271697044373,0.0003,0.0028274315,0.2,280,-0.006029768906591926,0.0271484375
61440,1123,419.64,54,30,375.615,0.18477653736481442,0.0674675703048706,-0.20330462828278542,0.7006582915782928,0.0003,0.00565407,0.2,290,-0.004496760191977955,0.04736328125
63488,1121,424.63,56,31,383.655,0.11975172004895285,0.10369396209716797,-0.20267065661028028,0.8554844707250595,0.0003,0.01971127,0.2,300,-0.007120064324408304,0.092578125
65536,1119,428.81,58,32,390.765,0.1059866831288673,0.030983446165919304,-0.1358141955221072,0.2280217409133911,0.0003,0.001926963,0.2,310,-0.0042001763780717735,0.015673828125
67584,1118,438.73,60,33,402.17,0.07424853080883623,0.029217641800642014,-0.13593377687502653,0.4825560450553894,0.0003,0.0052447272,0.2,320,-0.005983764644042822,0.035546875
69632,1119,445.74,62,34,411.07,0.05948629370541312,0.005600162781774998,-0.13987697027623652,0.7264365255832672,0.0003,0.0060460577,0.2,330,-0.0031256589471013287,0.040576171875
71680,1119,451.99,64,35,419.2,0.06574547724449076,0.022236118093132973,-0.11098094164626673,0.588873952627182,0.0003,0.0016052072,0.2,340,-0.0031653560654376633,0.0138671875
73728,1119,458.59,65,36,428.35,0.046435787493828685,0.008557036519050598,-0.11406504990300163,0.4937770962715149,0.0003,0.0029050303,0.2,350,-0.003680013323901221,0.02265625
75776,1120,463.49,67,37,435.215,0.056162020069314166,0.016327904537320137,-0.0978096439386718,0.5781261026859283,0.0003,0.0014624388,0.2,360,-0.0032062731515907217,0.01494140625
77824,1120,470.12,69,38,443.18,0.037954126461409034,0.02173534967005253,-0.09638085677288473,0.5519712567329407,0.0003,0.0016290043,0.2,370,-0.0023553632316179575,0.015478515625
79872,1121,477.58,71,39,451.725,0.03516457461810205,0.014222480356693268,-0.09438673667609691,0.5715535283088684,0.0003,0.0016357854,0.2,380,-0.0017198203946463763,0.019140625
81920,1120,485.06,73,40,460.405,0.052333909855224195,0.017300689592957497,-0.09799110635649413,0.9714942909777164,0.0003,0.0026911672,0.2,390,-0.0028044373219017872,0.025927734375
83968,1119,489.21,75,41,466.205,0.02918706878554076,0.02761201560497284,-0.0775257209315896,0.43757063150405884,0.0003,0.0006864169,0.2,400,-0.0015329631438362411,0.009033203125
86016,1117,494.36,76,42,472.745,0.035564810433425006,0.0348668247461319,-0.07751368001336231,0.8930106312036514,0.0003,0.0010413197,0.2,410,-0.0001553956444695359,0.009765625
88064,1117,495.52,78,43,475.915,0.04375555477454327,-0.0032660849392414093,-0.05894550775992684,0.6725403964519501,0.0003,0.0021057883,0.2,420,-0.005051631552487379,0.019091796875
90112,1117,495.99,80,44,478.41,0.01728545465739444,0.0072943177074193954,-0.07232627196935937,0.686325341463089,0.0003,0.0006912238,0.2,430,-0.0003415743907680735,0.009765625
92160,1117,495.99,82,45,480.395,0.024134688597405328,0.007275081239640713,-0.0643442881759256,0.8178819119930267,0.0003,0.0012412064,0.2,440,0.00026417403132654725,0.01494140625
94208,1117,495.99,84,46,481.715,0.015452606073813513,0.0010593771003186703,-0.07275610570795835,0.6734555661678314,0.0003,0.0005593031,0.2,450,0.0012837882735766471,0.0115234375
96256,1118,500.0,86,47,486.535,0.02102148263511481,0.014377069659531116,-0.06849104503635317,0.6001982688903809,0.0003,0.0005657398,0.2,460,-0.0006891704353620299,0.00791015625
98304,1118,500.0,87,48,487.33,0.025969185677240603,0.006438537500798702,-0.06678353524184785,0.5147703588008881,0.0003,0.000359233,0.2,470,-0.0010995230506523513,0.005224609375
100352,1115,500.0,89,49,488.05,0.023651301715290174,0.003314460627734661,-0.06492686900892294,0.7843350172042847,0.0003,0.0014136038,0.2,480,-0.0004161331118666567,0.01220703125
